number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_hidden_layer_sizes,params_max_iter,state
117,0.8217993079584776,2026-07-07 17:43:34.053718,2026-07-07 17:43:35.138201,0 days 00:00:01.084483,logistic,0.0001,"(10,)",1000,COMPLETE
118,0.8183391003460208,2026-07-07 17:43:35.138201,2026-07-07 17:43:35.284825,0 days 00:00:00.146624,relu,0.0005,"(10,)",200,COMPLETE
119,0.8217993079584776,2026-07-07 17:43:35.284825,2026-07-07 17:43:36.464969,0 days 00:00:01.180144,logistic,0.0001,"(10,)",1000,COMPLETE
120,0.8217993079584776,2026-07-07 17:43:36.464969,2026-07-07 17:43:37.614474,0 days 00:00:01.149505,logistic,0.0005,"(10,)",1000,COMPLETE
121,0.8217993079584776,2026-07-07 17:43:37.614474,2026-07-07 17:43:38.173038,0 days 00:00:00.558564,relu,0.0001,"(10,)",1000,COMPLETE
122,0.8217993079584776,2026-07-07 17:43:38.173038,2026-07-07 17:43:38.712832,0 days 00:00:00.539794,relu,0.0001,"(10,)",1000,COMPLETE
123,0.8217993079584776,2026-07-07 17:43:38.712832,2026-07-07 17:43:39.255700,0 days 00:00:00.542868,relu,0.0001,"(10,)",1000,COMPLETE
124,0.8217993079584776,2026-07-07 17:43:39.255700,2026-07-07 17:43:39.832566,0 days 00:00:00.576866,relu,0.0001,"(10,)",1000,COMPLETE
125,0.8217993079584776,2026-07-07 17:43:39.832566,2026-07-07 17:43:40.385323,0 days 00:00:00.552757,relu,0.0001,"(10,)",1000,COMPLETE
126,0.7993079584775087,2026-07-07 17:43:40.385323,2026-07-07 17:43:40.833391,0 days 00:00:00.448068,logistic,0.0001,"(5,)",1000,COMPLETE
127,0.8217993079584776,2026-07-07 17:43:40.833391,2026-07-07 17:43:41.360419,0 days 00:00:00.527028,relu,0.0005,"(10,)",1000,COMPLETE
128,0.8217993079584776,2026-07-07 17:43:41.360419,2026-07-07 17:43:42.462065,0 days 00:00:01.101646,logistic,0.0001,"(10,)",1000,COMPLETE
129,0.8217993079584776,2026-07-07 17:43:42.462065,2026-07-07 17:43:42.986917,0 days 00:00:00.524852,relu,0.0005,"(10,)",1000,COMPLETE
130,0.8217993079584776,2026-07-07 17:43:42.986917,2026-07-07 17:43:44.134899,0 days 00:00:01.147982,logistic,0.0001,"(10,)",1000,COMPLETE
131,0.8217993079584776,2026-07-07 17:43:44.134899,2026-07-07 17:43:44.645545,0 days 00:00:00.510646,relu,0.0005,"(10,)",1000,COMPLETE
132,0.8217993079584776,2026-07-07 17:43:44.645545,2026-07-07 17:43:45.139161,0 days 00:00:00.493616,relu,0.0005,"(10,)",1000,COMPLETE
133,0.8217993079584776,2026-07-07 17:43:45.139161,2026-07-07 17:43:45.679665,0 days 00:00:00.540504,relu,0.0005,"(10,)",1000,COMPLETE
134,0.8217993079584776,2026-07-07 17:43:45.679665,2026-07-07 17:43:46.190547,0 days 00:00:00.510882,relu,0.0005,"(10,)",1000,COMPLETE
135,0.7975778546712803,2026-07-07 17:43:46.190547,2026-07-07 17:43:46.861747,0 days 00:00:00.671200,tanh,0.0005,"(10,)",1000,COMPLETE
136,0.8183391003460208,2026-07-07 17:43:46.861747,2026-07-07 17:43:47.021257,0 days 00:00:00.159510,relu,0.0005,"(10,)",200,COMPLETE
137,0.8217993079584776,2026-07-07 17:43:47.021257,2026-07-07 17:43:48.153895,0 days 00:00:01.132638,logistic,0.0001,"(10,)",1000,COMPLETE
138,0.8217993079584776,2026-07-07 17:43:48.153895,2026-07-07 17:43:48.655832,0 days 00:00:00.501937,relu,0.0005,"(10,)",1000,COMPLETE
139,0.7993079584775087,2026-07-07 17:43:48.655832,2026-07-07 17:43:49.111111,0 days 00:00:00.455279,logistic,0.0001,"(5,)",1000,COMPLETE
140,0.8217993079584776,2026-07-07 17:43:49.111111,2026-07-07 17:43:49.604100,0 days 00:00:00.492989,relu,0.0005,"(10,)",1000,COMPLETE
141,0.8217993079584776,2026-07-07 17:43:49.620260,2026-07-07 17:43:50.145571,0 days 00:00:00.525311,relu,0.0005,"(10,)",1000,COMPLETE
142,0.8217993079584776,2026-07-07 17:43:50.145571,2026-07-07 17:43:50.640513,0 days 00:00:00.494942,relu,0.0005,"(10,)",1000,COMPLETE
143,0.8217993079584776,2026-07-07 17:43:50.640513,2026-07-07 17:43:51.150370,0 days 00:00:00.509857,relu,0.0005,"(10,)",1000,COMPLETE
144,0.8217993079584776,2026-07-07 17:43:51.150370,2026-07-07 17:43:51.683470,0 days 00:00:00.533100,relu,0.0005,"(10,)",1000,COMPLETE
145,0.8217993079584776,2026-07-07 17:43:51.683470,2026-07-07 17:43:52.794719,0 days 00:00:01.111249,logistic,0.0005,"(10,)",1000,COMPLETE
146,0.8217993079584776,2026-07-07 17:43:52.794719,2026-07-07 17:43:53.320393,0 days 00:00:00.525674,relu,0.0001,"(10,)",1000,COMPLETE
147,0.8217993079584776,2026-07-07 17:43:53.320393,2026-07-07 17:43:54.451986,0 days 00:00:01.131593,logistic,0.0005,"(10,)",1000,COMPLETE
148,0.8217993079584776,2026-07-07 17:43:54.451986,2026-07-07 17:43:54.992031,0 days 00:00:00.540045,relu,0.0001,"(10,)",1000,COMPLETE
149,0.8217993079584776,2026-07-07 17:43:54.992031,2026-07-07 17:43:56.094877,0 days 00:00:01.102846,logistic,0.0005,"(10,)",1000,COMPLETE
150,0.8217993079584776,2026-07-07 17:43:56.094877,2026-07-07 17:43:56.651689,0 days 00:00:00.556812,relu,0.0001,"(10,)",1000,COMPLETE
151,0.8217993079584776,2026-07-07 17:43:56.651689,2026-07-07 17:43:57.145934,0 days 00:00:00.494245,relu,0.0005,"(10,)",1000,COMPLETE
152,0.8217993079584776,2026-07-07 17:43:57.145934,2026-07-07 17:43:57.655385,0 days 00:00:00.509451,relu,0.0005,"(10,)",1000,COMPLETE
153,0.8217993079584776,2026-07-07 17:43:57.655385,2026-07-07 17:43:58.197083,0 days 00:00:00.541698,relu,0.0005,"(10,)",1000,COMPLETE
154,0.8217993079584776,2026-07-07 17:43:58.197083,2026-07-07 17:43:58.738774,0 days 00:00:00.541691,relu,0.0005,"(10,)",1000,COMPLETE
155,0.7975778546712803,2026-07-07 17:43:58.738774,2026-07-07 17:43:59.412927,0 days 00:00:00.674153,tanh,0.0005,"(10,)",1000,COMPLETE
156,0.7993079584775087,2026-07-07 17:43:59.412927,2026-07-07 17:43:59.637497,0 days 00:00:00.224570,logistic,0.0001,"(10,)",200,COMPLETE
157,0.8217993079584776,2026-07-07 17:43:59.637497,2026-07-07 17:44:00.188180,0 days 00:00:00.550683,relu,0.0005,"(10,)",1000,COMPLETE
